受访者ID,问题1: 总体影响,问题2: 影响权衡,问题3-1: Mendenhall Glacier拥挤,问题3-2: 市中心车辆拥堵,问题3-3: 市中心人行道拥挤,问题3-4: 观鲸船交通及浪涌,问题3-5: 市中心外车辆拥堵,问题3-6: 观光飞行噪音,问题3-7: 步道拥挤,问题3-8: 邮轮废气排放
449,消极影响,不适用,有些受影响,没有受影响,非常受影响,没有受影响,非常受影响,非常受影响,非常受影响,没有受影响
450,积极影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响
451,既有积极和消极影响,积极影,非常受影响,没有受影响,非常受影响,有些受影响,有些受影响,没有受影响,非常受影响,没有受影响
452,既有积极和消极影响,消极影,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,有些受影响
453,既有积极和消极影响,消极影,没有受影响,没有受影响,非常受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响
454,没有影响,不适用,有些受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
455,积极影响,不适用,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响,非常受影响,没有受影响,非常受影响
456,既有积极和消极影响,积极影,有些受影响,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
457,积极影响,不适用,有些受影响,有些受影响,没有受影响,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响
458,既有积极和消极影响,积极影,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,非常受影响
459,积极影响,不适用,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响
460,积极影响,不适用,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
461,积极影响,不适用,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响
462,既有积极和消极影响,积极影,没有受影响,有些受影响,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响
463,既有积极和消极影响,积极影,非常受影响,没有受影响,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,有些受影响
464,既有积极和消极影响,不知道,有些受影响,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响
465,没有影响,不适用,没有受影响,没有受影响,非常受影响,有些受影响,有些受影响,有些受影响,有些受影响,有些受影响
466,消极影响,不适用,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响
467,积极影响,不适用,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
468,既有积极和消极影响,积极影,没有受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响,非常受影响,非常受影响
469,积极影响,不适用,非常受影响,有些受影响,没有受影响,有些受影响,有些受影响,有些受影响,没有受影响,非常受影响
470,没有影响,不适用,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响
471,积极影响,不适用,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响
472,没有影响,不适用,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响
473,积极影响,不适用,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响
474,没有影响,不适用,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响
475,既有积极和消极影响,两者相,有些受影响,非常受影响,有些受影响,有些受影响,有些受影响,有些受影响,没有受影响,没有受影响
476,不知道,不适用,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
477,积极影响,不适用,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响
478,既有积极和消极影响,积极影,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
479,没有影响,不适用,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响
480,既有积极和消极影响,两者相,没有受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,非常受影响
481,既有积极和消极影响,两者相,非常受影响,有些受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
482,既有积极和消极影响,消极影,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响
483,既有积极和消极影响,消极影,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,非常受影响
484,既有积极和消极影响,消极影,非常受影响,有些受影响,有些受影响,非常受影响,有些受影响,有些受影响,非常受影响,没有受影响
485,既有积极和消极影响,积极影,非常受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
486,没有影响,不适用,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
487,积极影响,不适用,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
488,积极影响,不适用,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
489,没有影响,不适用,有些受影响,非常受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,有些受影响
490,没有影响,不适用,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,有些受影响,非常受影响,没有受影响
491,既有积极和消极影响,两者相,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响
492,既有积极和消极影响,两者相,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,非常受影响,非常受影响,没有受影响
493,积极影响,不适用,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
494,积极影响,不适用,非常受影响,没有受影响,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,有些受影响
495,既有积极和消极影响,不知道,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响
496,消极影响,不适用,没有受影响,非常受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响
497,既有积极和消极影响,积极影,非常受影响,没有受影响,非常受影响,非常受影响,非常受影响,有些受影响,没有受影响,有些受影响
498,积极影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响
499,没有影响,不适用,没有受影响,没有受影响,非常受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响
500,没有影响,不适用,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
